url,mod_title,mod_description,videos
https://www.coursera.org/learn/uva-darden-getting-started-agile,Problems Agile Solves,"The agile practices that deliver excellent product are well understood, but they take focus, energy, and confidence to apply. This week, we’ll identify what’s hard about creating excellent products and how agile can help. We'll begin with a discussion of the Agile Manifesto- what motivated it and how it defines agile. Then we’ll get into the practical part- the problems agile solves, how to focus your time and energy, and how you’ll know if your practice of agile is working.",Why is Agile?;What is Agile?;What is Design? ;Your Agile Journey;Agile for Managers;Agile for Individual Contributors;Agile 101;Today's Best Practices;Scale Friendly vs. Innovation Friendly;What Makes Agile Hard;The Blue Button Moment;Culture of Experimentation;The Manifesto in Practice;A Hypothesis-Driven Approach to Agile;Greg Cohen on Getting Started with Agile;Bill Wake on Getting Started with Agile;How We Learn
https://www.coursera.org/learn/uva-darden-getting-started-agile,"Focusing Your Agile with Personas, Jobs-to-be-Done, and Alternatives","The best way to avoid building something nobody wants is to start with somebody in mind. In the design world, we talk about that ""somebody"" through a ‘persona’. Personas and problem scenarios (aka 'jobs-to-be-done') focus development on driving toward a valuable outcome for your user vs. just generating output. In this module, you’ll learn to focus your work by developing personas, problem scenarios, and alternatives using best practices from design thinking.","Design Thinking for Agile User Stories;Meet the Companies: HVAC in a Hurry and Enable Quiz;Creating and Using Personas;Focusing Your Persona: Think, See, Feel, Do;Demo: Using the Hypothesis-Driven Development Template (UPDATE);Demo: Drafting Personas;Demo: Drafting Think, See, Feel, Do;Creating User Stories that Matter;Skit: Meet the HVAC in a Hurry Team;Skit: Dani's Meeting with the CEO"
https://www.coursera.org/learn/uva-darden-getting-started-agile,Getting to Great Agile User Stories,Now we’re going to transition from drafting personas and hypothesizing user needs to testing those assumptions and translating what you’ve learned into agile user stories. We’ll step through how you create an interview guide to ask your users the right questions and then we’ll dive into agile user stories. User stories are a standard feature of agile and serve as a day-to-day focal point for driving to value.,"User Research for Busy People;Researching Personas;Demo: Creating an Interview Guide: Personas;Demo: Creating an Interview Guide: JTBD;Demo: Dry running your interview guide with chatGPT;Skit: Interviewing Trent the Technician;Demo: Designing Google AdWords;Demo: Drafting Jobs-to-be-Done, Alternatives, and Value Propositions;Preparing for Great User Stories;Writing Great User Stories;Test-Driven User Stories;Skit: From Jobs-to-be-Done to Epic User Stories;Demo: Drafting Epic User Stories;Demo: Storyboarding an Epic;Storyboarding with AI;Demo: Drafting Child Stories"
https://www.coursera.org/learn/uva-darden-getting-started-agile,Focusing on Customer Value with User Stories,"The agile user story is your day-to-day focal point for making sure you’re building something valuable for your user. It’s how you discuss that within your team and how you anchor your subsequent testing. In this module, you’ll learn how to facilitate the creation and use of stories within your team.","Better Narrative, Better Story;Investable Stories;Bill Wake on INVEST;Coaching for Better User Stories;A Prototype Is Worth a Thousand  Meetings;From Design Thinking to Agile Analytics;Designing a Meeting with User Stories;Using ""Day in the Life"" to Drive Empathy;Skit: Drafting Epics from Jobs-to-be-Done;Skit: Storyboarding an Epic;Skit: Child Stories and Test Cases;And On To Course 2!"
https://www.coursera.org/learn/uva-darden-agile-team-management,The Agile Team,"This week we’ll introduce the four fundamental jobs of software development to help you define what’s important to your team and, hence, which of the many agile practices might make the most sense for you to try out. Then we’ll talk about achieving alignment with your company while maintaining autonomy through an agile team charter. We’ll close by stepping through the leading agile methodologies--Scrum, XP, and kanban. You’ll finish the week with an understanding of how to pair what’s important to your team with the best of what agile has to offer.",Managing with Agile;A Successful Practice of Agile?;Unpacking the Jobs of Software Development ;David Bland on Agile & Lean Startup;Agile at Spotify: Part 1;Agile at Spotify: Part 2;Facilitating Alignment;The Business Model Canvas - Proposition Design & Revenue Drivers;The Business Model Canvas - Customer Experience;The Business Model Canvas - Business Model Type & Cost Drivers;Achieving Alignment;Introducing the Corporate Innovation Canvas;Using the Google Slides Templates;Your Agile Team Charter;Scrum Fundamentals: Roles;Scrum Fundamentals: Phases;Scrum Fundamentals: Burndown;XP Fundamentals: Learning and Deciding;XP Fundamentals: Building and Managing;Kanban Fundamentals
https://www.coursera.org/learn/uva-darden-agile-team-management,Learning and Deciding,"One of the most critical focal points for any team is facilitating a focus on outcomes over output. Without this, you’ll never graduate from responding to requests about your to-do list of output to driving better user outcomes that move the needle for your company. This week, you’ll learn how to define and prioritize what’s important to your team in the areas of learning and deciding, and to pair those with relevant agile practices from Scrum, XP, and kanban.","Your ATM: The Learning Machine;Learning Antipatterns;Good Inputs;Good Collaboration;David Chait on Learning What’s Valuable;Agile Methodologies and the Job of Learning;Skit: Grooming the Story Map;The Limits of Good Inputs;Bill Wake on Acceptance Testing;Valuable Decisions;Slicing the Lasagna;Managing Work in Progress: Part 1;Managing Work in Progress: Part 2;The Quagmire of Estimation, the Power of Flow;Prioritization & the PM;Demo: Using Trello for Agile;Bill Wake on Estimates and Prioritization;Greg Cohen on User Stories;Bill Wake on Burndown;Greg Cohen on Prioritization;Agile Methodologies and the Job of Deciding;Skit: Iteration Planning"
https://www.coursera.org/learn/uva-darden-agile-team-management,Building and Managing,"This week we’ll dive into the jobs of building software and the core management jobs in running an agile team. Agile--and XP in particular--offers a rich body of work on specific coding practices. We’ll step through a few of the most prominent and discuss key linkages with the other concepts and practices you’ve learned. On the job of managing, we’ll dive deeper into what that means and what works in an agile context.","Building Software with Agile;DevOps, AI, and the Jobs of Testing & Releasing;XP on Writing Software: Part 1;XP on Writing Software: Part 2;Bill Wake on YAGNI;Bill Wake on Integrated QA;Generative AI and the Job of Building;The Agile Manager;Creating an Agile-Friendly Environment;Skit: A Developer at Work;Bill Wake on Self-Organization;Bill Wake on Support Escalations;International and Distributed Teams;Skit: Retrospective #6;Agile Teams Meet Waterfall Processes;Greg Cohen on Software Development;Agile Product Teams Meet Big Customer;Working with Big Customers: Keeping the Initiative;Working with Big Customers: Accommodating Customer Variations;Roadmaps & Stakeholder Management;Managing to Outcomes;Skit: Big Meeting with Marla;David Chait on Using Data with Clients"
https://www.coursera.org/learn/uva-darden-agile-team-management,Practicing Agile,"Now that you’ve learned about the four jobs of software development, you’ll have a chance to think through how they relate to your work in this week’s peer-reviewed assignment. You’ll finish the course with a clear plan to accomplish the jobs of learning, deciding, building, and managing for your project.",Getting Started;Yael Grushka-Cockayne on Transitioning from Traditional Project Management;Spotify: Scaling Agile;Salesforce: The Big Plunge;Yael Grushka-Cockayne on Project Managers and Agile;Final Thoughts
https://www.coursera.org/learn/uva-darden-agile-testing,How Do We Know if We're Building for a User that Doesn't Exist?,"How do you go from backlog grooming to blockbuster results with agile? Hypothesis-driven decisions. Specifically, you need to shift your teammates focus from their natural tendency to focus on their own output to focusing out user outcomes. Easier said than done, but getting everyone excited about results of an experiment is one of the most reliable ways to get there. This week, we’ll focus on how you get started in a practical way.",Course Introduction;Hypotheses-Driven Development & Your Product Pipeline;Introducing Example Company: HVAC in a Hurry;Driving Outcomes With Your Product Pipeline;The Persona Hypothesis;The JTBD Hypothesis;The Demand Hypothesis;The Usability Hypothesis;The Collaboration Hypothesis;The Functional Hypothesis;Driving to Value with Your Persona & JTBD Hypothesis;Example Personas and Jobs-to-be-Done;Setting Up Interviews;Prepping for Subject Interviews;Conducting the Interview;How Not to Interview;Day in the Life;You and Your Next Design Sprint;The Practice of Time Boxing;Overview of the Persona and JTBD Sprint;How Do I Sell the Idea of a Design Sprint;Your Persona & JTBD Hypotheses: What's Next For You?
https://www.coursera.org/learn/uva-darden-agile-testing,How Do We Reduce Waste & Increase Wins by Testing Our Propositions Before We Build Them?,"Nothing will help a team deliver better outcomes like making sure they’re building something the user values. This might sound simple or obvious, but I think after this week it’s likely you’ll find opportunities to help improve your team’s focus by testing ideas more definitively before you invest in developing software. In this module, you’ll learn how to make concept testing an integral part of your product pipeline. We’ll continue to apply methods from Lean Startup, looking at how they pair with agile. We’ll look at how high-functioning teams design and run situation-appropriate experiments to test ideas, and how that works before the fact (when you’re testing an idea) and after the fact (when you’re testing the value of software you’ve released).",Creating More Wins;Describing the Customer Experience (CX) for Testability;CX Mapping for Prioritization and Testing;Testing Demand Hypotheses with MVP's;Learning What's Valuable;Introducing Enable Quiz;Business to Consumer Case Studies;Business to Business Case Studies;Using a Design Sprint to Test Your Demand Hypothesis;Lean Startup and Learning from Practice;Interview: Tristan Kromer on the Practice of Lean Startup;Interview: David Bland on the Practice of Lean Startup;Interview: Tristan Kromer on Creating a Culture of Experimentation Part 1;Interview: Tristan Kromer on Creating a Culture of Experimentation Part 2;Interview: David Bland on Creating a Culture of Experimentation: Part 1;Interview: David Bland on Creating a Culture of Experimentation: Part 2;Interview: David Bland on Marrying Agile to Lean Startup;Interview: David Bland on Using Hypothesis with Agile;Interview: Laura Klein on the Right Kind of Research;Your Demand Hypotheses: What's next for you?
https://www.coursera.org/learn/uva-darden-agile-testing,How Do We Consistently Deliver Great Usability?,"The best products are tested for usability early and often, avoiding the destructive stress and uncertainty of a ""big unveil."" In this module, you’ll learn how to diagnose, design and execute phase-appropriate user testing. The tools you’ll learn to use here (a test plan template, prototyping tool, and test session infrastructure) are accessible/teachable to anyone on your team. And that’s a very good thing -- often products are released with poor usability because there ""wasn’t enough time"" to test it. With these techniques, you’ll be able to test early and often, reinforcing your culture of experimentation.",The Always Test;A Test-Driven Approach to Usability;The Inexact Science of Interface Design;Diagnosing Usability with Donald Norman's 7 Steps Model;Fixing Usability with Donald Norman's 7 Steps Model;Applying the 7 Steps Model to Hypothesis-Driven Development;Fixing the Visceral Layer;Fixing the Behavioral Layer: The Importance of Comparables & Prototyping;Prototyping With Balsamiq;Usability Testing: Fun & Affordable;The Right Testing at the Right Time;A Test Plan Anyone Can Use;Creating Good Test Items;Running a Usability Design Sprint;Running a Usability Design Sprint Skit;Interview: Laura Klein on Qualitative vs. Quantitative Research;Interview: Laura Klein on Lean UX in Enterprise IT;Prioritizing User Outcomes with Story Mapping;Your Usability Hypotheses: What's Next For You?
https://www.coursera.org/learn/uva-darden-agile-testing,How Do We Invest to Move Fast?,"You’ve learned how to test ideas and usability to reduce the amount of software your team needs to build and to focus its execution. Now you’re going to learn how high-functioning teams approach testing of the software itself. The practice of continuous delivery and the closely related Devops movement are changing the way we build and release software. It wasn’t that long ago where 2-3 releases a year was considered standard. Now, Amazon, for example, releases code every 11.6 seconds. This week, we’ll look at the delivery pipeline and step through what successful practitioners do at each stage and how you can diagnose and apply the practices that will improve your implementation of agile.",Functional Hypotheses and Continous Delivery;The Team that Releases Together;Getting Started with Continuous Delivery;Anders Wallgren on Getting Started;The Test Pyramid;The Commit & Small Tests Stage;The Job of Version Control;Medium Tests;Large Tests;Creating Large/Behavioral Tests;Anders Wallgren on Functional Testing;Release Stage;The Job of Deploying;Anders Wallgren on Deployment;Chris Kent on Developing with Continuous Delivery;Chris Kent on Continuous Deployment;Test-Driven General Management;Narrative and the 'Happy Path';The Emergence of DevOps and the Ascent of Continuous Delivery;Design for Deployability;Anders Wallgren on Continuous Deployment;Anders Wallgren on Creating a Friendly Environment for Continuous Deployment;Your Functional Hypotheses: What's Next For You?;Testing Jobs-for-Pets;Course Conclusion
https://www.coursera.org/learn/uva-darden-agile-analytics,Introduction and Customer Analytics,"Without an actionable view of who your customer is and what problems/jobs/habits they have, you’re operating on a shaky foundation. This week, we’ll look at how to pair your qualitative analytics on customer hypotheses with testable analytics.","Intentional Iteration;Science for the Win;Recap: Hypothesis-Driven Development;Getting Outside the Building with Trent the Technician;Describing the Customer Journey for Testability: Trent the Technician;Focal Point: The User Journey;Your Analytics Portfolio;Designing Actionable Inferences: DV's, IV's, and Causality;Testing with Retrospective Experiment Patterns;Testing with Prospective Experiment Patterns;Understanding Enough about Statistics for Now;Separating Laggards vs. Innovators: The Two Ways to be Wrong and the Two Ways to be Right"
https://www.coursera.org/learn/uva-darden-agile-analytics,Demand Analytics,"Why build something no one wants? It seems like an obvious question, yet a lot (probably >50%) of software ends up lightly used or not used at all. This week, we’ll look at how to run fast but definitive experiments to test demand.",Lean Startup and the Demand Hypothesis;Demand Testing at Enable Quiz;Designing Experiments;Experiment Design with MVPs;Designing User Habits: The Hook Framework;Five Experiment Charters;The Fake Feature Test;Testing Features: Running the Experiment;Testing Funnels;Testing Cohorts;Experiment Design: Testing a Coding Course for Designers & Managers;Experiment Execution: Testing a Coding Course for Designers & Managers;Diverging Your Ideas with Generative AI;Interview: Laura Klein on Practice of Lean UX
https://www.coursera.org/learn/uva-darden-agile-analytics,UX Analytics,Strong usability most often comes from ongoing diligence as opposed to big redesigns. Teams that do the hard work of consistently testing usability are rewarded with a consistent stream of customer wins and a culture of experimentation that makes work more enjoyable and rewarding.,"Analytics All the Time;Qualitative Usability Testing;The Test You Already Have;Pairing Your User Stories with Analytics: Trent the Technician;Getting Outside the Building With Ivan the Inside Salesperson;Pairing Your User Stories with Analytics: Ivan the Inside Salesperson;Analyzing Dependent Variables with Google Analytics;Google Analytics: The Littlest Overview;From Design to Code: Trent the Technician;From Code to Analytics: Trent the Technician;A/B Testing;Mapping Analytics: Ivan the Inside Salesperson;Designing, Coding, and Testing: Ivan the Inside Salesperson;From Inference to Product Priorities: Four Sprints with HinH;Pushing Yourself on Comparables with Generative AI"
https://www.coursera.org/learn/uva-darden-agile-analytics,Data Science and AI,"The availability of big data and the ascendance of machine learning can supercharge the way you approach analytics. This week, we're going to learn how data science is changing analytics and how you can create a focused, productive interfaces to a data science capability.",What is Data Science?;Interview: Drew Conway on Data Science;Interview: Drew Conway’s Data Science Journey;Data Science and Generative AI;Predictive AI vs. Generative AI;Interview: Casey Lichtendahl: Data Science and You;Interview: Casey Lichtendahl: Closer Look at the Work of Data Science;Maturing Your Analytics & AI Capability;Product Jobs-to-be-Done and Your AI Portfolio;Finding Your Ground Truth Supremacy with AI;From Easy Wins to Durable wins with AI;Facilitating Collaboration with Your Data Science Team;Interview: Casey Lichtendahl: Data at Rest vs. Data in Motion;Generative AI IRL: the Jedburgh App's;Data Science IRL: Intro to the Casino Jack Case;Data Science IRL: Data Wrangling and Exploratory Analysis;Data Science IRL: Testing Hypotheses and Designing Interventions;Course Close
https://www.coursera.org/learn/technical-support-fundamentals,Introduction to IT,"Welcome to Technical Support Fundamentals, the first course of the IT Support Professional Certificate! By enrolling in this course, you are taking the first step to kickstarting your career in tech. In the first module of the course, we'll learn about how computers were invented, how they've evolved over time, and how they work today. We will also learn about what an ""IT Support Specialist"" is and what they do in their job. By the end of this module, you will know how to count like a computer using binary and understand why these calculations are so powerful for society. So let's get started!",Program Introduction;What is IT?;What does an IT Support Specialist do?;Course Introduction;From Abacus to Analytical Engine;The Path to Modern Computers;Kevin: Their career path;Computer Language;Character Encoding;Binary;How to Count in Binary;Abstraction;Computer Architecture Overview;Kevin: Advice for the world of IT
https://www.coursera.org/learn/technical-support-fundamentals,Hardware,"In the second module of this course, we'll learn about what's inside a computer. We'll learn all about the hardware components or different pieces inside a computer. We'll discover what each component does and how they work together to make a computer function. By the end of this module, you will also know how to build a computer from scratch!","Module Introduction;Introduction to Computer Hardware;Programs, the CPU, and Memory;Joe: Diversity in IT;CPU;RAM;Motherboards;Physical Storage: Hard Drives;Power Supplies;Mobile Devices;Batteries and Charging Systems;Peripherals and Ports;BIOS;Ben: Skills of IT professionals;Putting it All Together: Installing The Processor;Putting it All Together: Adding the RAM And The Drive;Putting it All Together: Adding Graphics and Other Peripherals.;Mobile Device Repair;One program, many futures"
https://www.coursera.org/learn/technical-support-fundamentals,Operating System,"In the third module of the course we will become familiar with operating systems. We discuss the operating systems that are most widely used today and learn how an operating system interacts with computer hardware. We will learn about the startup process of an operating system and show you how to install the Windows, Linux and Mac OS X operating systems from scratch. At the end of this module you will interact directly with the Windows and Linux operating systems via the Qwiklabs environment.",Module introduction;Components of an Operating System;Files and File Systems;Process Management;Memory Management and Virtual Memory;I/O Management;Interacting with the OS: User Space;Logs;The Boot Process;Mobile Operating Systems;Cindy: Drive and career path;Choosing an Operating System;Virtual Machines;Installing Windows 10;Installing Linux;What is Chrome OS?;Mac OS;Tri Ngo: How to overcome obstacles and become successful in IT;Introduction to Qwiklabs
https://www.coursera.org/learn/technical-support-fundamentals,Networking,"In the fourth module of this course, we'll learn about computer networking. We'll explore the history of the Internet and what ""The Web"" actually is. We'll also discuss topics like Internet privacy, security, and what the future of the Internet may look like. You'll also understand why the Internet has limitations even today. By the end of this module, you will know how the Internet works and recognize both the positive and negative impacts the Internet has had on the world.",Module Introduction;Basics of Networking;Networking Hardware;TCP/IP;The Web;Victor: First job experiences;History of the Internet;Limitations of the Internet;Changing Careers;Impact;Internet of Things;Gian: What he does in Android Security;Privacy and Security;Heather Adkins: keeping hackers out;Learner Story: Melinda
https://www.coursera.org/learn/technical-support-fundamentals,Software,"In the fifth module of this course, we'll learn about computer software. We'll learn about what software actually is and the different types of software you may encounter as an IT Support Specialist. We'll also explore how to manage software and revisit the concept of ""abstraction."" By the end of this module, you'll use the Qwiklabs environment to install, update and remove software on both Windows and Linux operating systems.","Module Introduction;How software is built: Coding, scripting, and programming ;Types of Software;Revisiting Abstraction;Recipe for Computing;Phelan: Learning IT in the Navy;Managing Software;Installing, Updating, and Removing Software on Windows;Installing, Updating, and Removing Software on Linux;Software Automation"
